index,value,name,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,type,rank,so2,date
188,72,南京,1.227,123,30,51,64,84,43,良,163.2667,18,2016/11/1
257,49,南宁,0.89,75,27,35,61,51,29,优,71.6,13,2016/11/1
313,61,厦门,0.62,144,33,37,71,63,34,良,120.2667,13,2016/11/1
383,82,合肥,1.12,153,38,55,55,85,55,良,202.3667,16,2016/11/1
486,112,呼和浩特,1.877,192,35,61,48,152,73,轻度污染,259.9333,53,2016/11/1
552,138,天津,2.023,307,32,66,38,150,104,轻度污染,277.7667,27,2016/11/1
617,76,广州,1.017,166,33,62,78,69,41,良,176.5667,14,2016/11/1
625,117,成都,1.32,244,48,62,45,150,86,轻度污染,267.0667,16,2016/11/1
691,79,杭州,0.973,139,35,56,49,85,52,良,194.6,13,2016/11/1
750,84,武汉,1.233,182,28,52,42,93,61,良,198.8,11,2016/11/1
816,38,海口,0.6,67,13,12,69,34,18,优,37.7333,6,2016/11/1
876,55,深圳,0.85,111,33,36,85,49,31,良,98.0667,7,2016/11/1
934,169,西安,2.18,304,44,70,29,221,124,中度污染,324.5667,26,2016/11/1
58,94,上海,1.058,185,38,65,64,77,58,良,169.7097,19,2016/12/1
71,181,乌鲁木齐,2.487,347,77,64,20,184,142,中度污染,298.2903,16,2016/12/1
132,168,北京,2.51,431,54,80,28,159,133,中度污染,250.0968,17,2016/12/1
189,96,南京,1.306,158,40,65,75,113,66,良,178.0968,23,2016/12/1
256,79,南宁,1.074,130,38,50,75,91,57,良,133.2903,19,2016/12/1
314,65,厦门,0.7,98,39,44,67,71,40,良,99.8387,15,2016/12/1
382,118,合肥,1.258,180,48,74,51,115,86,轻度污染,235.0323,17,2016/12/1
488,93,呼和浩特,2.277,169,37,61,48,107,65,良,169.3871,64,2016/12/1
526,175,天津,2.739,340,60,84,32,177,135,中度污染,283.1935,35,2016/12/1
616,86,广州,1.103,128,37,71,84,83,51,良,153.4516,14,2016/12/1
626,154,成都,1.581,252,53,69,32,193,117,中度污染,292.871,18,2016/12/1
690,98,杭州,1.123,158,44,63,50,110,69,良,191.2581,15,2016/12/1
776,123,武汉,1.416,186,62,67,43,123,93,轻度污染,254.9355,14,2016/12/1
815,61,海口,0.739,111,41,13,105,60,36,良,83.2581,8,2016/12/1
875,67,深圳,0.974,95,33,43,103,71,45,良,99.7097,9,2016/12/1
935,214,西安,2.497,458,71,77,31,233,173,重度污染,324.0323,35,2016/12/1
57,73,上海,0.945,130,34,47,74,55,45,良,129.8387,17,2017/1/1
70,276,乌鲁木齐,3.31,407,169,90,28,237,226,重度污染,346.2258,30,2017/1/1
131,146,北京,2.203,470,34,65,41,131,116,轻度污染,208.3871,18,2017/1/1
190,89,南京,1.223,206,46,51,73,96,59,良,168.9355,20,2017/1/1
255,80,南宁,1.287,181,30,39,66,81,59,良,146.5161,14,2017/1/1
340,59,厦门,0.745,98,34,37,72,57,39,良,89.1935,12,2017/1/1
381,119,合肥,1.287,252,53,61,60,94,87,轻度污染,238.871,16,2017/1/1
487,105,呼和浩特,2.51,451,41,58,56,115,74,轻度污染,191.129,66,2017/1/1
551,142,天津,2.439,330,39,67,44,127,109,轻度污染,230.1935,31,2017/1/1
615,81,广州,1.229,205,40,65,79,76,54,良,143.8065,12,2017/1/1
627,173,成都,1.613,375,42,69,43,204,136,中度污染,289.1613,17,2017/1/1
689,90,杭州,1.087,210,38,50,53,90,63,良,168.6129,14,2017/1/1
751,119,武汉,1.39,232,45,54,53,106,85,轻度污染,239.0323,14,2017/1/1
814,54,海口,0.758,98,25,10,95,46,28,良,75.3871,6,2017/1/1
880,61,深圳,0.997,85,37,33,92,55,38,良,97.5161,8,2017/1/1
936,229,西安,2.613,499,63,73,45,260,186,重度污染,312,37,2017/1/1
56,77,上海,0.868,154,38,49,93,57,50,良,127.6071,14,2017/2/1
69,217,乌鲁木齐,2.696,405,50,80,56,169,165,重度污染,307.8214,23,2017/2/1
130,100,北京,1.318,305,36,53,65,84,71,良,170.4286,18,2017/2/1
191,85,南京,1.286,125,46,53,93,94,60,良,183.6429,20,2017/2/1
254,67,南宁,1.154,119,34,31,77,66,47,良,123.9286,15,2017/2/1
315,60,厦门,0.675,96,39,38,81,53,36,良,84.3214,11,2017/2/1
378,114,合肥,1.168,161,49,65,87,91,86,轻度污染,233.6071,17,2017/2/1
495,90,呼和浩特,1.968,177,44,50,78,94,64,良,191.1429,54,2017/2/1
550,118,天津,1.664,281,43,64,73,115,85,轻度污染,207.0357,28,2017/2/1
614,74,广州,0.95,122,33,59,93,62,44,良,113.3214,13,2017/2/1
628,110,成都,1.164,213,38,56,58,119,82,轻度污染,217.6429,14,2017/2/1
694,91,杭州,0.964,175,37,51,83,92,67,良,175.8571,14,2017/2/1
752,101,武汉,1.304,219,54,57,69,96,73,轻度污染,205.8214,14,2017/2/1
813,49,海口,0.721,95,22,12,90,41,26,优,49.2143,6,2017/2/1
873,59,深圳,0.875,89,35,30,101,45,32,良,70.1786,7,2017/2/1
937,172,西安,2.143,307,57,75,71,201,131,中度污染,296,33,2017/2/1
55,71,上海,0.768,102,47,50,108,58,44,良,120.871,12,2017/3/1
74,132,乌鲁木齐,1.606,244,67,55,62,113,101,轻度污染,274.3226,12,2017/3/1
128,94,北京,0.913,273,40,50,86,84,63,良,176.5161,11,2017/3/1
192,77,南京,1.168,112,56,54,105,89,47,良,179.7097,18,2017/3/1
259,52,南宁,1.245,95,28,35,50,50,33,良,103.5806,11,2017/3/1
316,74,厦门,0.719,129,44,56,88,72,40,良,131.0968,14,2017/3/1
380,90,合肥,0.968,140,62,63,91,84,63,良,231.2258,14,2017/3/1
489,71,呼和浩特,1.348,148,43,44,96,75,41,良,140.5806,42,2017/3/1
549,100,天津,1.352,251,43,64,100,106,70,轻度污染,211.3871,24,2017/3/1
613,81,广州,1.003,109,48,66,59,66,41,良,150.8387,12,2017/3/1
629,77,成都,0.945,122,47,58,75,81,49,良,178.4516,12,2017/3/1
687,79,杭州,0.874,157,42,54,90,86,54,良,185.4516,13,2017/3/1
753,93,武汉,1.135,272,43,58,77,96,64,良,222.3871,12,2017/3/1
818,47,海口,0.7,95,28,15,79,45,24,优,69.1613,5,2017/3/1
868,54,深圳,0.832,87,36,34,90,51,31,良,88.6452,7,2017/3/1
938,100,西安,1.5,145,48,63,81,120,69,轻度污染,268.4194,23,2017/3/1
54,91,上海,0.83,139,53,51,133,70,45,良,165.7,12,2017/4/1
67,55,乌鲁木齐,0.843,85,33,36,75,60,27,良,156.6667,10,2017/4/1
129,87,北京,0.693,174,38,48,101,104,53,良,229.2,7,2017/4/1
193,93,南京,1.227,124,43,51,136,93,42,良,210.6,18,2017/4/1
252,55,南宁,1.06,92,38,32,82,57,33,良,104.5333,11,2017/4/1
317,63,厦门,0.64,108,29,38,91,62,31,良,94.7667,13,2017/4/1
379,92,合肥,0.923,127,40,51,119,89,52,良,225.4667,12,2017/4/1
490,75,呼和浩特,0.953,142,45,42,113,92,29,良,181.9667,22,2017/4/1
548,98,天津,1.21,172,57,57,115,125,64,良,262.2,19,2017/4/1
612,83,广州,0.86,181,45,58,92,61,34,良,124.2333,12,2017/4/1
630,80,成都,0.85,133,38,55,115,67,33,良,127,14,2017/4/1
685,90,杭州,0.93,140,41,49,137,82,47,良,191.5333,13,2017/4/1
754,80,武汉,1.09,106,36,54,101,94,44,良,205.0333,11,2017/4/1
811,49,海口,0.663,102,29,14,88,40,20,优,47.8667,7,2017/4/1
872,58,深圳,0.797,112,32,33,88,44,27,良,63,8,2017/4/1
939,93,西安,1.327,298,41,62,99,95,43,良,242.0667,15,2017/4/1
53,88,上海,0.674,161,42,37,136,49,28,良,119.9677,11,2017/5/1
66,63,乌鲁木齐,0.803,103,35,34,92,80,24,良,187.3226,9,2017/5/1
134,134,北京,0.674,500,53,37,161,104,48,轻度污染,218.3226,7,2017/5/1
194,111,南京,1.061,200,34,45,160,69,30,轻度污染,182.2258,18,2017/5/1
248,51,南宁,0.987,93,28,34,89,48,28,良,108.2581,9,2017/5/1
318,51,厦门,0.555,86,33,27,86,47,25,良,75.0323,10,2017/5/1
384,109,合肥,0.794,188,47,48,156,74,43,轻度污染,197.7097,11,2017/5/1
491,105,呼和浩特,0.732,500,55,39,132,109,30,轻度污染,229.1935,14,2017/5/1
547,139,天津,0.981,500,51,40,158,91,41,轻度污染,232.0323,12,2017/5/1
611,90,广州,0.897,201,43,52,129,56,34,良,139.9355,12,2017/5/1
631,97,成都,0.742,145,41,51,146,73,43,良,166.7097,10,2017/5/1
682,105,杭州,0.855,195,43,45,154,72,41,轻度污染,170.5161,11,2017/5/1
755,104,武汉,1,500,33,50,129,89,39,轻度污染,241.0323,8,2017/5/1
809,45,海口,0.635,103,24,11,87,30,15,优,24.3226,7,2017/5/1
871,67,深圳,0.848,149,30,31,110,42,27,良,68.7742,8,2017/5/1
940,114,西安,1.103,500,50,55,136,76,32,轻度污染,225.3226,13,2017/5/1
